Place of interest,Tipo_Centro,Place address,BiciMAD station,Station location
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta del Sol A,Puerta del Sol nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta del Sol B,Puerta del Sol nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Miguel Moya,Calle Miguel Moya nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Malasaña,Calle Manuela Malasaña nº 5
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Fuencarral,Calle Fuencarral nº 108
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Colegio Arquitectos,Calle Hortaleza nº 63
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Hortaleza,Calle Hortaleza nº 75
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Alonso Martínez,Plaza de Alonso Martínez nº 5
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de San Miguel,Plaza de San Miguel nº 9
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Andrés,Calle San Andrés nº 18
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Hermenegildo,Calle San Bernardo nº 85
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Conde Duque,Calle Conde Duque nº 22
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ventura Rodríguez,Calle Duque de Liria
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Vicente Ferrer,Calle San Vicente Ferrer nº 64
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Bernardo,Calle San Bernardo nº 22
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Carlos Cambronero,Plaza de Carlos Cambronero nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Prim,Calle Prim nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Banco de España A,Calle Alcalá nº 49
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Jacometrezo,Calle Jacometrezo nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Santo Domingo,Plaza de Santo Domingo nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Palacio de Oriente,Calle Carlos III nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Celenque A,Plaza de Celenque nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Celenque B,Plaza de Celenque nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de las Salesas,Plaza de las Salesas 7
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Huertas,Calle Jesús nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Sevilla,Calle Alcalá nº 27
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Marqués de Cubas,Calle del Marqués de Cubas nº 25
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Quintín,Calle Pavía nº 6
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Calle Mayor,Calle Mayor nº 20
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de la Provincia,Plaza de la Provincia nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Carretas,Calle Carretas nº 8
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Jacinto Benavente,Plaza de Jacinto Benavente
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza del Cordón,Plaza del Cordón
